,input,reply
4402,how tall is it,20 inches tall
4403,will tis fit a catnapper lift cir,dont know
4404,how long is the cord,about 2 ft
4405,is this available in ivory thank you,please answer
4406,is the fabric material cotton or polyester,it is cotton
4407,is the tree black or chocolate brown,it is black
4408,what is the height of these tables when in use,26 14 inches
4409,is this 1810 or 180 by chance,dont know
4410,how deep is the pan,about two inches
4411,could this fit under a 4 inch space,yes it can
4412,can you see through this material,not really
4413,what is the height of this table,30 inches
4414,when a teeshirt is folded how wide is the teeshirt,approx 9 inches
4415,what is the diameter of the rod,one inch
4416,what is the weight capacity,300 pounds
4417,does this kit come with travel bag,unfortunately no
4418,is this bpa free,yes it is
4419,how many ounces does the pitcher main mixer component hold,40 ounces
4420,where is this made,where else china
4421,how tall is it,about 23 tall
4422,what is the depth,12 38 inches
4423,how long is the electric cord,about 27 feet
4424,how much does it weigh,about 18 pounds
4425,how long is the power cord,about four feet
4426,is this pillow firm medium or soft thanx bridget,firm
4427,wil it be good for hard cheese like parmisan cheese,absolutely
4428,what is weight or dimensions,about 15 pounds
4429,is it bpa free,yes it is
4430,how thick is it,15 inches
4431,do the lids provide an airtight seal,yes they do
4432,how high is this heater at its minimum height setting,345 inches
4433,how tall is it,23 12 inches
4434,what is the height of this table,20 inches
4435,what is the overall height of this cart,37 inches
4436,are they made of silicone,yes they are
4437,what is the outside diameter of this bowl,22 inches
4438,what is the inside diameter of the stainless steel bowl,8 inches
4439,what is the height of steamer,about eight inches
4440,is this a 100 genuine hoover oem filter,yes it is
4441,will it fit 52254,yes very good
4442,will this blade fit model 54200r,dont know
4443,is it fire retardant,do not know
4444,can this be mounted horizontally and function just as well,yes love it
4445,can the lid holder be removed,yes it can
4446,is the push handle normally a little loose sloppy,mine is not
4447,how tall,13 inches
4448,are the windows on this machine glass or plastic,its all plastic
4449,how tall are they,325 inches
4450,are there leveling legs on the bottom of this cooler,yes there are
4451,how tall is this at the outside corners,44 inches
4452,is the bottom part made of glass or plastic,its all plastic
4453,what is the diameter of this table,38 inches
4454,is the comforter thin and light weight,yes it is
4455,is it exactly 18 inches deep on the dot,yes it is
4456,is the sham a pillow case,yes it is
4457,are the dark owls black or brown,they are black
4458,is the bedspread white or off white,off white
4459,country of origin,made in china
4460,how long is the cord on this hamilton beach kettle,24 inches
4461,how deep is it front to back,115 inches
4462,how tall is it,about 26 inches
4463,what is the space inbetween the shelves in inches thanks,about 13 inches
4464,what is the exact inner diameter of the glass cover,75 inches
4465,where is this toaster made usa,made in china
4466,will this fit a dc25 model,yes it will
4467,will this fit a dc25 animal,yes perfectly
4468,what are the dimensions especially the diameter at the bottom,1 34 inches
4469,are these glasses stackable,yes they are
4470,is the blending blade and gasket included with the pitcher,yes it is
4471,will a queen set of sheets fit this air mattress,yes it will
4472,how long is the immersible part,its 55 inches
4473,are these plastic or glassthanks,they are plastic
4474,will it hold a flat screen tv,yes it will
4475,is this a cc1600 handheld vac by oreck,yes it is
4476,so does a crib sheet fit it,perfectly
4477,how tall is the surrounding wall,about 10
4478,what is the diameter of the lid,18 34 inches
4479,are the wheels steel,yes they are
4480,is the jar made out of glass,yes it is
4481,what is the height,almost 16 inches
4482,is it worth buying for a 1 person household,yes definitely
4483,is this big enough for an iphone,yes definitely
4484,what is it made of what is the covering,its all plastic
4485,what are the dimensions what are the dimensions,dimensions please
4486,what country was this made in,thailand
4487,how heavy whats the weight,about 15 lbs
4488,what is the distance between the shelves,125 inches
4489,how long is the warranty on this blanket,5 years
4490,what color is this blanket,light gray
4491,what is the is the warranty on this item,one year
4492,how many pounds of food does it hold,about 40 pounds
4493,what is the depth of this pan,3 inches
4494,will the lid also fit the 105 inch skillet,yes perfectly
4495,can i just get the headboard of this item,sorry no
4496,is this a magnetic steel,yes they are
4497,will it fit 1917 model,i dont know
4498,i have an 18 mattress will this sheet fit,yes it will
4499,is it reversible,yes it is
4500,is this made in the usa,made in china
4501,will it fit a 4 mattress without slipping off,yes it will
4502,do these fit the original magic bullet,yes they do
4503,will this hold keurig k cups,yes it will
4504,what is the diameter of the individual donut wells,35 inches
4505,can you close the door with this hook,yes works great
4506,what is the diameter of the lid,725 inches
4507,is the bowl glass or plastic,it is plastic
4508,how high are the seats 24 29,29 inches
4509,will this match the brushed nickel look,absolutely
4510,what is the length of this spoon,4 12 inches
4511,what is the height of the bottom shelf,about 10
4512,how thick is the butcher block top,one inch
4513,is the cutting screen made of metal,yes it is
4514,how high is it without the wheels thanks,31 58 inches
4515,will this replace a az55h15dadm1 thanks,yes it will
4516,can you brown with this unit,absolutely
4517,where does it manufacturer,made in china
4518,is this machine made in japan or china,made in china
4519,where does zojirushi nsrnc18fz made,thailand
4520,how long is it,40 inches
4521,whats the thickness i cannot find it,its 12
4522,are they for a standard size cupcake,yes they are
4523,what are the sheets thread count,i dont know
4524,may i know whats the height of the shelf,24 inches
4525,does this fit emerson model mw1337sb,it should
4526,what is the capacity,two quarts
4527,what is the capacity how many pints quarts,two quarts
4528,bought pipeline xlong twin set is there bedskirt to match,no there isnt
4529,is this line still made in germany,yes they are
4530,how tall is this,56 inches
4531,is this 36 inches wide and 28 inches tall,36 inches tall
4532,is the unit plastic or metal,its plastic
4533,is it cool to the touch,yes it is
4534,is the fry pan a 9 10 or 12,12 inches
4535,is this air conditioner 120 volt,yes it is
4536,do you ship to western australia,yes thank you
4537,what does it weigh,about 5 lbs
4538,what is the diameter width at the bottom,2 34 inches
4539,how much weight will each bag hold,5 pounds
4540,is the holder included,yes it is
4541,what is the weight capacity,at least 250
4542,can you slice bone with it,dont know
4543,what is the length of the top hanging arm,7 inches
4544,what is its depth,5 inches
4545,will these fit in a keurig 20 450 brewing system,no they wont
4546,is the top piece one long solid piece,yes it is
4547,how wide is it,435 inches
4548,will it work with sodastream source,i dont know
4549,do these contain bpa,dont think so
4550,how heavy are the 2 pieces together,about 50 pounds
4551,how tall is the island without the casters,32 inches
4552,is it dishwasher safe,yes it is
4553,does this part fit a whirlpool wfw8500sr00 machine,yes it will
4554,will this fit on a wfw9450ww00,yes it should
4555,please what does it weigh,about 2 pounds
4556,what is the interior depth,25 inches
4557,does anyone know where this cabinet was made,made in china
4558,does this come in black,sorry no
4559,are these wrinkle free,yes they are
4560,what is the warranty on this machine thank you,one year
4561,how tall are these bowls,two inches
4562,where the cookware is made,in china
4563,where was the product made,made in china
4564,is the top black or white,mine is black
4565,are the screws included for the cabinet mounting,yes they are
4566,what is the height you can adjust it to,36 inches
4567,does this product fit cham bord 4 cup press,fits perfectly
